[ 2016-09-25T10:06:20+08:00 ] /wd/ | INFO: Tag[ app_begin ] --START--
[ 2016-09-25T10:50:55+08:00 ] /wd/index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001001s ]
[ 2016-09-25T10:50:55+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001001s ]
[ 2016-09-25T10:50:59+08:00 ] /wd/ | INFO: Tag[ app_begin ] --START--
[ 2016-09-25T10:50:59+08:00 ] /wd/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:50:59+08:00 ] /wd/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T10:50:59+08:00 ] /wd/ | INFO: Tag[ view_template ] --START--
[ 2016-09-25T10:50:59+08:00 ] /wd/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:50:59+08:00 ] /wd/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T10:50:59+08:00 ] /wd/ | INFO: Tag[ view_parse ] --START--
[ 2016-09-25T10:50:59+08:00 ] /wd/ | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 15 and defined TagLib.class.php 第 111 行.
[ 2016-09-25T10:50:59+08:00 ] /wd/ | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2016-09-25T10:50:59+08:00 ] /wd/ | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2016-09-25T10:51:00+08:00 ] /wd/ | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.000000s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/ | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2016-09-25T10:51:00+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/ | INFO: Run ParseTemplate Behavior [ RunTime:1.050002s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/ | INFO: Tag[ view_parse ] --END-- [ RunTime:1.050002s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/ | INFO: Tag[ view_filter ] --START--
[ 2016-09-25T10:51:00+08:00 ] /wd/ | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/ | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.010000s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010000s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/ | INFO: Tag[ view_end ] --START--
[ 2016-09-25T10:51:00+08:00 ] /wd/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2016-09-25T10:51:00+08:00 ] /wd/index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.001000s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.001000s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2016-09-25T10:51:00+08:00 ] /wd/index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001000s ]
[ 2016-09-25T10:51:00+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002000s ]
[ 2016-09-25T11:02:51+08:00 ] /wd/ | INFO: Tag[ app_begin ] --START--
[ 2016-09-25T11:02:51+08:00 ] /wd/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-25T11:02:51+08:00 ] /wd/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T11:02:51+08:00 ] /wd/ | INFO: Tag[ view_template ] --START--
[ 2016-09-25T11:02:51+08:00 ] /wd/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000000s ]
[ 2016-09-25T11:02:51+08:00 ] /wd/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T11:02:51+08:00 ] /wd/ | INFO: Tag[ view_parse ] --START--
[ 2016-09-25T11:02:51+08:00 ] /wd/ | NOTIC: [2] Missing argument 2 for TagLib::parseXmlAttr(), called in D:\phpStudy\WWW\wd\Index\Lib\TagLib\TagLibHd.class.php on line 15 and defined TagLib.class.php 第 111 行.
[ 2016-09-25T11:02:51+08:00 ] /wd/ | NOTIC: [8] Undefined index: @attributes TagLib.class.php 第 120 行.
[ 2016-09-25T11:02:51+08:00 ] /wd/ | NOTIC: [2] array_change_key_case() expects parameter 1 to be array, null given TagLib.class.php 第 120 行.
[ 2016-09-25T11:02:52+08:00 ] /wd/ | SQL: SHOW COLUMNS FROM `hd_category` [ RunTime:0.000000s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/ | NOTIC: [8] Undefined offset: 0 Model.class.php 第 270 行.
[ 2016-09-25T11:02:52+08:00 ] /wd/ | SQL: SELECT * FROM `hd_category` WHERE ( `pid` = 0 )  [ RunTime:0.000000s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/ | INFO: Run ParseTemplate Behavior [ RunTime:1.040002s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/ | INFO: Tag[ view_parse ] --END-- [ RunTime:1.040002s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/ | INFO: Tag[ view_filter ] --START--
[ 2016-09-25T11:02:52+08:00 ] /wd/ | INFO: Run ContentReplace Behavior [ RunTime:0.000000s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/ | INFO: Run TokenBuild Behavior [ RunTime:0.000000s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000000s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/ | INFO: Run ShowRuntime Behavior [ RunTime:0.010000s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.010000s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/ | INFO: Tag[ view_end ] --START--
[ 2016-09-25T11:02:52+08:00 ] /wd/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000000s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ route_check ] --START--
[ 2016-09-25T11:02:52+08:00 ] /wd/index.php/Common/verify | INFO: Run CheckRoute Behavior [ RunTime:0.000000s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ route_check ] --END-- [ RunTime:0.000000s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ app_begin ] --START--
[ 2016-09-25T11:02:52+08:00 ] /wd/index.php/Common/verify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.010000s ]
[ 2016-09-25T11:02:52+08:00 ] /wd/index.php/Common/verify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.010000s ]
